﻿GUID,Key,Text,Translation
8e08234b-d3f1-438e-b1a9-6a3c9a26d277,audio_settings_tab_menu_element.prefab/elements/common#label/header_mastervolume/items.0,Master Volume,Volume principale
4495e0fa-123e-4a40-a95a-921e4661e4de,audio_settings_tab_menu_element.prefab/elements/common#label/master_volume/items.0,Game Volume,Volume di gioco
cce883aa-9c25-4f7e-b056-11ca88cba981,audio_settings_tab_menu_element.prefab/elements/common#label/header_audiolevels/items.0,Audio Levels,Livelli audio
86a1e949-85b2-4cbe-8738-32db692ad528,audio_settings_tab_menu_element.prefab/elements/common#label/music_volume/items.0,Music Volume,Volume musica
9379c950-294b-4fe5-9fd1-6694a8472ecf,audio_settings_tab_menu_element.prefab/elements/common#label/sfx_volume/items.0,Sound Effects Volume,Volume degli effetti sonori
261e5937-5ce9-4a52-bdc1-a63ff95a0d34,audio_settings_tab_menu_element.prefab/elements/common#label/ambient_volume/items.0,Ambient Volume,Volume ambiente
2d55c639-5444-4da5-a19b-97e7b13f472b,credits_element.prefab/elements/common#label/title/container.0,XENONAUTS-2 CREDITS,XENONAUTS-2 CREDITI
68c5f477-b23d-4795-945a-83cc6dfcebee,credits_element.prefab/elements/common#role/chris/items.0,Project & Design Director,Project & Design Director
c2f353c2-8ee2-4e52-965c-459c78716bf9,credits_element.prefab/elements/common#role/miljan/items.0,Design Assistant,Assistente alla progettazione
e8854d8d-b1aa-4bcd-84e0-74f808c5933c,credits_element.prefab/elements/common#role/gj/items.0,Technical Director,Direttore Tecnico
40618f91-e8f3-4793-aa9c-ca1a681de0a0,credits_element.prefab/elements/common#role/joe/items.0,Senior Programmer,Programmatore senior
096d55d1-9d8a-4897-ad4d-76716df03f1a,credits_element.prefab/elements/common#role/ed/items.0,Senior Programmer,Programmatore senior
829d276c-1e20-4b29-970b-d45db2aefdbd,credits_element.prefab/elements/common#role/pietro/items.0,Programmer,Programmatore
e99539a5-a585-4171-8003-c2dc1dcf5c4d,credits_element.prefab/elements/common#role/elliott/items.0,Senior 3D Artist,Artista 3D senior
d0c02eea-936e-489c-b11f-d7067f3b3a50,credits_element.prefab/elements/common#role/robin/items.0,3D Animation,Animazione 3D
de3276c2-953f-41b8-abea-e40fae6c8a8a,credits_element.prefab/elements/common#role/andrey/items.0,3D Artist,3D Artist
f90aa58e-fb16-47ea-9352-d273ee03134c,credits_element.prefab/elements/common#role/meteor pixel/items.0,3D Artist,3D Artist
94633208-cf40-4229-a8db-46d69fda0bc9,credits_element.prefab/elements/common#role/mikael/items.0,2D Artist,2D Artist
72b0b4f6-f285-4132-9c7b-ab2ded578230,credits_element.prefab/elements/common#role/kris/items.0,2D Artist,2D Artist
3bd08ed1-b94b-4cc6-a33b-769662e61d47,credits_element.prefab/elements/common#role/francois/items.0,2D Artist,2D Artist
e6cb5a98-df17-4f65-bfc6-44033c4d2069,credits_element.prefab/elements/common#role/chi-chun/items.0,2D Artist,2D Artist
9ea52b89-760e-40ff-96c7-23db5bd77aca,credits_element.prefab/elements/common#role/teo/items.0,2D Artist,2D Artist
2bccfeca-1718-46de-bb58-b87334835ca9,credits_element.prefab/elements/common#role/ernesto/items.0,2D Artist,2D Artist
408119ce-be4e-4bde-9f3a-30ec57721a1f,credits_element.prefab/elements/common#role/david cousino/items.0,UI Artist,UI Artist
7f648cb4-5a50-4b5e-a842-117132d4e3c2,credits_element.prefab/elements/common#role/aleksi/items.0,Composer,Compositore
af0d7f9b-93d3-45e0-be67-942c91ba3536,credits_element.prefab/elements/common#role/david k/items.0,Sound Effects,Effetti sonori
e95a6e49-79f1-4da0-9b71-7ae2cd0f440b,credits_element.prefab/elements/common#role/chris/items.0,Writer,Scrittore
e7239383-e6cf-4ec2-b323-0d694b134cf6,credits_element.prefab/elements/common#role/alec/items.0,Writing Support,Supporto per la scrittura
0094313a-975d-4e63-a4db-bfa4d69e2f1b,credits_element.prefab/elements/common#role/special_thanks/items.0,"We would also like to thank everyone who supported us during the development process, including our many backers on Kickstarter. This game would not have been possible without your help!","Vorremmo anche ringraziare tutti coloro che ci hanno supportato durante il processo di sviluppo, compresi i nostri numerosi sostenitori su Kickstarter. Questo gioco non sarebbe stato possibile senza il tuo aiuto!"
41311665-c02c-43bf-beb6-7ee0c27b9174,credits_element.prefab/elements/common#title/500_tier/items.0,"""Colonel"" Kickstarter Backers","Sostenitori Kickstarter ""Colonnello"""
e53e1d2f-f387-48ee-bd65-8f4fc1333342,credits_element.prefab/elements/common#title/200_tier/items.0,"""Major"" Kickstarter Backers","Sostenitori Kickstarter ""Major"""
9c1af0e4-10e6-451d-92a0-bc73ac8e61b4,credits_element.prefab/elements/common#title/100_85_tier/items.0,"""Sergeant-Major"" Kickstarter Backers","Sostenitori Kickstarter ""Sergente Maggiore"""
ae70ace0-325a-43e1-8a83-79113660137a,credits_element.prefab/elements/common#title/50_tier/items.0,"""Captain"" Kickstarter Backers","Sostenitori Kickstarter ""Capitano"""
0ab21d4e-1fb2-48b6-a612-08a552f68d95,credits_element.prefab/elements/common#title/35_tier/items.0,"""Lieutenant"" Kickstarter Backers","Sostenitori Kickstarter ""Tenente"""
